id,exchange,symbol,date,price,amount,bid
9998624,cb,btcusd,1.46785E+12,678.03,0.12673,FALSE
9998625,cb,btcusd,1.46785E+12,677.78,0.01,FALSE
9998626,cb,btcusd,1.46785E+12,677.73,0.012,TRUE
9998628,cb,btcusd,1.46785E+12,677.65,0.025,TRUE
9998627,cb,btcusd,1.46785E+12,677.71,0.098,TRUE
9998629,cb,btcusd,1.46785E+12,677.62,0.089,TRUE
9998630,cb,btcusd,1.46785E+12,677.61,0.1,TRUE
9998631,cb,btcusd,1.46785E+12,677.56,0.089,TRUE
9998632,cb,btcusd,1.46785E+12,677.51,0.67,TRUE
9998633,cb,btcusd,1.46785E+12,677.51,0.094,TRUE
9998634,cb,btcusd,1.46785E+12,677.5,1.36364,TRUE
9998635,cb,btcusd,1.46785E+12,677.62,0.012,TRUE
9998636,cb,btcusd,1.46785E+12,677.62,0.11,TRUE
9998637,cb,btcusd,1.46785E+12,677.51,0.091,TRUE
9998638,cb,btcusd,1.46785E+12,677.51,0.42,TRUE
9998639,cb,btcusd,1.46785E+12,677.5,1.67691,TRUE
9998640,cb,btcusd,1.46785E+12,677.82,0.025,FALSE
9998641,cb,btcusd,1.46785E+12,677.84,0.005,FALSE
9998642,cb,btcusd,1.46785E+12,677.69,0.4146,FALSE
9998643,cb,btcusd,1.46785E+12,677.71,0.23568,FALSE
9998644,cb,btcusd,1.46785E+12,677.52,0.16524,FALSE
9998645,cb,btcusd,1.46785E+12,677.52,0.02,FALSE
9998646,cb,btcusd,1.46785E+12,677.73,0.01,FALSE
9998647,cb,btcusd,1.46785E+12,677.81,0.012,FALSE
9998648,cb,btcusd,1.46785E+12,677.84,0.007,FALSE
9998649,cb,btcusd,1.46785E+12,677.87,0.1314,FALSE
9998650,cb,btcusd,1.46785E+12,677.87,0.01625,FALSE
9998652,cb,btcusd,1.46785E+12,677.5,0.05546,TRUE
9998651,cb,btcusd,1.46785E+12,677.68,0.012,TRUE
9998653,cb,btcusd,1.46785E+12,677.87,0.0154,FALSE
9998654,cb,btcusd,1.46785E+12,677.82,0.35874,FALSE
9998655,cb,btcusd,1.46785E+12,677.73,0.3055,FALSE
9998656,cb,btcusd,1.46785E+12,677.74,0.178,FALSE
9998657,cb,btcusd,1.46785E+12,677.75,0.69279,FALSE
9998658,cb,btcusd,1.46785E+12,677.63,0.015,TRUE
9998659,cb,btcusd,1.46785E+12,677.56,0.121,TRUE
9998660,cb,btcusd,1.46785E+12,677.55,0.025,TRUE
9998661,cb,btcusd,1.46785E+12,677.5,0.93702,TRUE
9998662,cb,btcusd,1.46785E+12,677.6,0.142436,FALSE
9998663,cb,btcusd,1.46785E+12,677.6,0.048064,FALSE
9998664,cb,btcusd,1.46785E+12,677.62,0.228,FALSE
9998665,cb,btcusd,1.46785E+12,677.64,0.0715,FALSE
9998666,cb,btcusd,1.46785E+12,677.7,0.015,FALSE
9998667,cb,btcusd,1.46785E+12,677.78,0.04415,FALSE
9998668,cb,btcusd,1.46785E+12,677.78,0.025,FALSE
9998670,cb,btcusd,1.46785E+12,677.85,0.24252,FALSE
9998669,cb,btcusd,1.46785E+12,677.78,0.125,FALSE
9998671,cb,btcusd,1.46785E+12,677.87,0.012,FALSE
9998672,cb,btcusd,1.46785E+12,677.87,0.083,FALSE
9998673,cb,btcusd,1.46785E+12,677.92,0.025,FALSE
9998674,cb,btcusd,1.46785E+12,677.99,0.73,FALSE
9998676,cb,btcusd,1.46785E+12,678,0.174,FALSE
9998675,cb,btcusd,1.46785E+12,678,0.83654217,FALSE
9998677,cb,btcusd,1.46785E+12,678.06,0.025,FALSE
9998678,cb,btcusd,1.46785E+12,678.08,0.176,FALSE
9998679,cb,btcusd,1.46785E+12,678.1,2.14110783,FALSE
9998680,cb,btcusd,1.46785E+12,678.08,0.01,FALSE
9998681,cb,btcusd,1.46785E+12,678.08,0.14,FALSE
9998682,cb,btcusd,1.46785E+12,678.1,0.1272986,FALSE
9998683,cb,btcusd,1.46785E+12,678.14,0.01,FALSE
9998684,cb,btcusd,1.46785E+12,678.16,0.176,FALSE
9998685,cb,btcusd,1.46785E+12,678.22,0.024,FALSE
9998686,cb,btcusd,1.46785E+12,678.25,0.2,FALSE
9998687,cb,btcusd,1.46785E+12,678.27,0.025,FALSE
9998688,cb,btcusd,1.46785E+12,678.3,0.214,FALSE
9998690,cb,btcusd,1.46785E+12,678.45,0.5399814,FALSE
9998689,cb,btcusd,1.46785E+12,678.34,0.01,FALSE
9998691,cb,btcusd,1.46785E+12,678.24,0.33892,TRUE
9998692,cb,btcusd,1.46785E+12,678.3,0.14999999,TRUE
9998693,cb,btcusd,1.46785E+12,678.39,0.01,FALSE
9998694,cb,btcusd,1.46785E+12,678.39,0.075,FALSE
9998695,cb,btcusd,1.46785E+12,678.44,0.1644,FALSE
9998697,cb,btcusd,1.46785E+12,678.44,0.081,FALSE
9998696,cb,btcusd,1.46785E+12,678.44,0.8356,FALSE
9998698,cb,btcusd,1.46785E+12,678.45,0.11124,FALSE
9998699,cb,btcusd,1.46785E+12,678.45,0.41159,FALSE
9998700,cb,btcusd,1.46785E+12,678.45,0.27599,FALSE
9998701,cb,btcusd,1.46785E+12,678.44,0.05172,TRUE
9998702,cb,btcusd,1.46785E+12,678.45,0.225,FALSE
9998703,cb,btcusd,1.46785E+12,678.45,0.22811,FALSE
9998704,cb,btcusd,1.46785E+12,678.37,0.74039,FALSE
9998705,cb,btcusd,1.46785E+12,678.44,0.106,FALSE
9998706,cb,btcusd,1.46785E+12,678.45,0.50369,FALSE
9998707,cb,btcusd,1.46785E+12,678.29,0.20585,FALSE
9998708,cb,btcusd,1.46785E+12,678.38,0.78969,FALSE
9998709,cb,btcusd,1.46785E+12,678.35,0.05755,FALSE
9998710,cb,btcusd,1.46785E+12,678.08,0.11777,FALSE
9998711,cb,btcusd,1.46785E+12,678.11,0.04067,FALSE
9998712,cb,btcusd,1.46785E+12,678.11,0.09933,FALSE
9998713,cb,btcusd,1.46785E+12,678.11,3.42274,FALSE
9998714,cb,btcusd,1.46785E+12,678.11,0.2045,FALSE
9998715,cb,btcusd,1.46785E+12,678.11,0.2032,FALSE
9998716,cb,btcusd,1.46785E+12,678.11,1.25579,FALSE
9998717,cb,btcusd,1.46785E+12,678.12,0.03677469,FALSE
9998718,cb,btcusd,1.46785E+12,678.12,0.62105,FALSE
9998719,cb,btcusd,1.46785E+12,678.22,0.11048,FALSE
9998720,cb,btcusd,1.46785E+12,678.11,0.0567,FALSE
9998721,cb,btcusd,1.46785E+12,678.1,0.101,TRUE
9998723,cb,btcusd,1.46785E+12,677.93,0.112,TRUE
9998722,cb,btcusd,1.46785E+12,678.07,0.025,TRUE
9998724,cb,btcusd,1.46785E+12,677.92,0.025,TRUE
9998727,cb,btcusd,1.46785E+12,677.77,0.014,TRUE
9998726,cb,btcusd,1.46785E+12,677.85,0.123,TRUE
9998725,cb,btcusd,1.46785E+12,677.86,0.01,TRUE
9998728,cb,btcusd,1.46785E+12,677.77,0.04186,TRUE
9998729,cb,btcusd,1.46785E+12,677.82,0.11961,FALSE
9998730,cb,btcusd,1.46785E+12,677.7,0.67,TRUE
9998731,cb,btcusd,1.46785E+12,677.7,0.174,TRUE
9998732,cb,btcusd,1.46785E+12,677.69,0.02,TRUE
9998733,cb,btcusd,1.46785E+12,677.68,0.014,TRUE
9998734,cb,btcusd,1.46785E+12,677.66,0.01,TRUE
9998735,cb,btcusd,1.46785E+12,677.62,0.183,TRUE
9998736,cb,btcusd,1.46785E+12,677.54,0.182,TRUE
9998738,cb,btcusd,1.46785E+12,677.5,0.02,TRUE
9998737,cb,btcusd,1.46785E+12,677.5,1.91502953,TRUE
9998739,cb,btcusd,1.46785E+12,677.49,0.025,TRUE
9998740,cb,btcusd,1.46785E+12,677.49,0.025,TRUE
9998741,cb,btcusd,1.46785E+12,677.49,0.025,TRUE
9998742,cb,btcusd,1.46785E+12,677.49,0.025,TRUE
9998744,cb,btcusd,1.46785E+12,677.48,0.025,TRUE
9998745,cb,btcusd,1.46785E+12,677.47,0.022,TRUE
9998743,cb,btcusd,1.46785E+12,677.48,0.025,TRUE
9998746,cb,btcusd,1.46785E+12,677.46,0.025,TRUE
9998747,cb,btcusd,1.46785E+12,677.46,0.155,TRUE
9998749,cb,btcusd,1.46785E+12,677.45,0.01,TRUE
9998750,cb,btcusd,1.46785E+12,677.45,0.025,TRUE
9998748,cb,btcusd,1.46785E+12,677.45,0.01,TRUE
9998751,cb,btcusd,1.46785E+12,677.44,0.025,TRUE
9998752,cb,btcusd,1.46785E+12,677.44,0.025,TRUE
9998753,cb,btcusd,1.46785E+12,677.41,0.025,TRUE
9998757,cb,btcusd,1.46785E+12,677.4,0.025,TRUE
9998756,cb,btcusd,1.46785E+12,677.4,0.025,TRUE
9998755,cb,btcusd,1.46785E+12,677.4,0.02004431,TRUE
9998754,cb,btcusd,1.46785E+12,677.4,0.025,TRUE
9998758,cb,btcusd,1.46785E+12,677.4,0.025,TRUE
9998759,cb,btcusd,1.46785E+12,677.39,0.025,TRUE
9998762,cb,btcusd,1.46785E+12,677.36,0.025,TRUE
9998761,cb,btcusd,1.46785E+12,677.38,0.144,TRUE
9998760,cb,btcusd,1.46785E+12,677.38,0.025,TRUE
9998765,cb,btcusd,1.46785E+12,677.33,0.025,TRUE
9998764,cb,btcusd,1.46785E+12,677.34,0.025,TRUE
9998763,cb,btcusd,1.46785E+12,677.35,0.025,TRUE
9998766,cb,btcusd,1.46785E+12,677.32,0.025,TRUE
9998768,cb,btcusd,1.46785E+12,677.31,0.025,TRUE
9998767,cb,btcusd,1.46785E+12,677.32,0.025,TRUE
9998770,cb,btcusd,1.46785E+12,677.3,0.025,TRUE
9998769,cb,btcusd,1.46785E+12,677.3,0.02004433,TRUE
9998773,cb,btcusd,1.46785E+12,677.3,0.193,TRUE
9998772,cb,btcusd,1.46785E+12,677.3,0.025,TRUE
9998771,cb,btcusd,1.46785E+12,677.3,0.025,TRUE
9998774,cb,btcusd,1.46785E+12,677.29,0.025,TRUE
9998776,cb,btcusd,1.46785E+12,677.29,0.025,TRUE
9998775,cb,btcusd,1.46785E+12,677.29,0.025,TRUE
9998777,cb,btcusd,1.46785E+12,677.28,0.025,TRUE
9998780,cb,btcusd,1.46785E+12,677.25,0.025,TRUE
9998779,cb,btcusd,1.46785E+12,677.27,0.025,TRUE
9998781,cb,btcusd,1.46785E+12,677.25,0.025,TRUE
9998782,cb,btcusd,1.46785E+12,677.25,0.01,TRUE
9998778,cb,btcusd,1.46785E+12,677.28,0.025,TRUE
9998783,cb,btcusd,1.46785E+12,677.24,0.02,TRUE
9998785,cb,btcusd,1.46785E+12,677.22,0.025,TRUE
9998786,cb,btcusd,1.46785E+12,677.22,0.163,TRUE
9998787,cb,btcusd,1.46785E+12,677.21,0.025,TRUE
9998784,cb,btcusd,1.46785E+12,677.23,0.025,TRUE
9998788,cb,btcusd,1.46785E+12,677.2,0.02002955,TRUE
9998790,cb,btcusd,1.46785E+12,677.19,0.025,TRUE
9998791,cb,btcusd,1.46785E+12,677.18,0.025,TRUE
9998789,cb,btcusd,1.46785E+12,677.19,0.025,TRUE
9998793,cb,btcusd,1.46785E+12,677.17,0.025,TRUE
9998792,cb,btcusd,1.46785E+12,677.18,0.025,TRUE
9998794,cb,btcusd,1.46785E+12,677.16,0.025,TRUE
9998796,cb,btcusd,1.46785E+12,677.14,0.144,TRUE
9998798,cb,btcusd,1.46785E+12,677.13,0.025,TRUE
9998797,cb,btcusd,1.46785E+12,677.14,0.51,TRUE
9998795,cb,btcusd,1.46785E+12,677.15,0.025,TRUE
9998799,cb,btcusd,1.46785E+12,677.13,0.51,TRUE
9998801,cb,btcusd,1.46785E+12,677.11,0.56,TRUE
9998800,cb,btcusd,1.46785E+12,677.12,0.37,TRUE
9998805,cb,btcusd,1.46785E+12,677.09,0.025,TRUE
9998802,cb,btcusd,1.46785E+12,677.1,0.02002955,TRUE
9998803,cb,btcusd,1.46785E+12,677.1,0.025,TRUE
9998804,cb,btcusd,1.46785E+12,677.1,0.44,TRUE
9998806,cb,btcusd,1.46785E+12,677.09,0.45,TRUE
9998807,cb,btcusd,1.46785E+12,677.08,0.025,TRUE
9998809,cb,btcusd,1.46785E+12,677.07,0.025,TRUE
9998812,cb,btcusd,1.46785E+12,677.06,0.16,TRUE
9998808,cb,btcusd,1.46785E+12,677.08,0.51,TRUE
9998810,cb,btcusd,1.46785E+12,677.07,0.46,TRUE
9998811,cb,btcusd,1.46785E+12,677.06,0.025,TRUE
9998813,cb,btcusd,1.46785E+12,677.06,0.26,TRUE
9998814,cb,btcusd,1.46785E+12,677.05,0.025,TRUE
9998815,cb,btcusd,1.46785E+12,677.05,0.025,TRUE
9998816,cb,btcusd,1.46785E+12,677.01,0.02455273,TRUE
9998817,cb,btcusd,1.46785E+12,677.39,0.203,FALSE
9998818,cb,btcusd,1.46785E+12,677.39,0.20521,FALSE
9998819,cb,btcusd,1.46785E+12,677.39,0.153036,FALSE
9998820,cb,btcusd,1.46785E+12,677.38,0.15316,TRUE
9998822,cb,btcusd,1.46785E+12,677.39,0.22154,FALSE
9998821,cb,btcusd,1.46785E+12,677.39,0.214,FALSE
9998823,cb,btcusd,1.46785E+12,677.38,0.35474,TRUE
9998824,cb,btcusd,1.46785E+12,677.3,0.02005913,TRUE
9998826,cb,btcusd,1.46785E+12,677.17,0.00020087,TRUE
9998825,cb,btcusd,1.46785E+12,677.22,0.025,TRUE
9998827,cb,btcusd,1.46785E+12,677.19,0.05994,FALSE
9998828,cb,btcusd,1.46785E+12,677.34,0.187,FALSE
9998829,cb,btcusd,1.46785E+12,677.35,0.025,FALSE
9998830,cb,btcusd,1.46785E+12,677.35,0.00685,FALSE
9998831,cb,btcusd,1.46785E+12,677.34,0.05,FALSE
9998832,cb,btcusd,1.46785E+12,677.35,0.09573,FALSE
9998833,cb,btcusd,1.46785E+12,677.35,0.04868,FALSE
9998834,cb,btcusd,1.46785E+12,677.35,0.08958,FALSE
9998835,cb,btcusd,1.46785E+12,677.35,0.01294,FALSE
9998836,cb,btcusd,1.46785E+12,677.35,0.55818,FALSE
9998837,cb,btcusd,1.46785E+12,677.35,0.38804,FALSE
9998838,cb,btcusd,1.46785E+12,677.36,0.025,FALSE
9998839,cb,btcusd,1.46785E+12,677.37,0.025,FALSE
9998844,cb,btcusd,1.46785E+12,677.42,0.025,FALSE
9998842,cb,btcusd,1.46785E+12,677.4,0.025,FALSE
9998843,cb,btcusd,1.46785E+12,677.41,0.025,FALSE
9998841,cb,btcusd,1.46785E+12,677.39,0.025,FALSE
9998840,cb,btcusd,1.46785E+12,677.38,0.025,FALSE
